"Table 2. Life table for males: United States, 2010",,,,,,
,,,,, Total,
,Probability, ,Number,Person-years,number of, 
,of dying,Number,dying,lived ,person-years,Expectation
,between,surviving to,between,between,lived above,of life
,ages x to x+1,age x,ages x to x+1,ages x to x+1,age x,at age x
Age,q(x),l(x),d(x),L(x),T(x),e(x)
0-1,0.006667,"100,000",667,"99,419","7,619,510",76.2
1-2,0.000449,"99,333",45,"99,311","7,520,090",75.7
2-3,0.000322,"99,289",32,"99,273","7,420,779",74.7
3-4,0.000247,"99,257",25,"99,245","7,321,507",73.8
4-5,0.000178,"99,232",18,"99,223","7,222,262",72.8
5-6,0.000166,"99,215",17,"99,206","7,123,039",71.8
6-7,0.000147,"99,198",15,"99,191","7,023,832",70.8
7-8,0.000129,"99,183",13,"99,177","6,924,642",69.8
8-9,0.000109,"99,171",11,"99,165","6,825,465",68.8
9-10,0.000087,"99,160",9,"99,156","6,726,299",67.8
10-11,0.000072,"99,151",7,"99,148","6,627,144",66.8
11-12,0.000078,"99,144",8,"99,140","6,527,996",65.8
12-13,0.000121,"99,136",12,"99,130","6,428,856",64.8
13-14,0.000209,"99,124",21,"99,114","6,329,726",63.9
14-15,0.000328,"99,103",32,"99,087","6,230,612",62.9
15-16,0.000451,"99,071",45,"99,049","6,131,525",61.9
16-17,0.000569,"99,026",56,"98,998","6,032,476",60.9
17-18,0.000690,"98,970",68,"98,936","5,933,478",60.0
18-19,0.000817,"98,902",81,"98,861","5,834,542",59.0
19-20,0.000945,"98,821",93,"98,774","5,735,681",58.0
20-21,0.001084,"98,727",107,"98,674","5,636,907",57.1
21-22,0.001216,"98,620",120,"98,560","5,538,233",56.2
22-23,0.001311,"98,501",129,"98,436","5,439,672",55.2
23-24,0.001354,"98,371",133,"98,305","5,341,237",54.3
24-25,0.001358,"98,238",133,"98,171","5,242,932",53.4
25-26,0.001348,"98,105",132,"98,039","5,144,760",52.4
26-27,0.001344,"97,973",132,"97,907","5,046,722",51.5
27-28,0.001345,"97,841",132,"97,775","4,948,815",50.6
28-29,0.001359,"97,709",133,"97,643","4,851,040",49.6
29-30,0.001384,"97,576",135,"97,509","4,753,397",48.7
30-31,0.001414,"97,441",138,"97,373","4,655,888",47.8
31-32,0.001444,"97,304",140,"97,233","4,558,516",46.8
