"Table 2. Life table for males: United States, 2016",,,,,,
Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x
,qx,lx,dx,Lx,Tx,ex
0-1,0.006369,"100,000",637,"99,445","7,615,555",76.2
1-2,0.000432,"99,363",43,"99,342","7,516,110",75.6
2-3,0.000280,"99,320",28,"99,306","7,416,769",74.7
3-4,0.000228,"99,292",23,"99,281","7,317,462",73.7
4-5,0.000166,"99,270",16,"99,262","7,218,181",72.7
5-6,0.000166,"99,253",17,"99,245","7,118,920",71.7
6-7,0.000150,"99,237",15,"99,229","7,019,675",70.7
7-8,0.000133,"99,222",13,"99,215","6,920,445",69.7
8-9,0.000115,"99,209",11,"99,203","6,821,230",68.8
9-10,0.000097,"99,197",10,"99,193","6,722,027",67.8
10-11,0.000085,"99,188",8,"99,184","6,622,834",66.8
11-12,0.000092,"99,179",9,"99,175","6,523,651",65.8
12-13,0.000131,"99,170",13,"99,164","6,424,476",64.8
13-14,0.000209,"99,157",21,"99,147","6,325,312",63.8
14-15,0.000319,"99,136",32,"99,121","6,226,166",62.8
15-16,0.000436,"99,105",43,"99,083","6,127,045",61.8
16-17,0.000556,"99,062",55,"99,034","6,027,962",60.9
17-18,0.000695,"99,007",69,"98,972","5,928,928",59.9
18-19,0.000852,"98,938",84,"98,896","5,829,956",58.9
19-20,0.001015,"98,853",100,"98,803","5,731,060",58.0
20-21,0.001182,"98,753",117,"98,695","5,632,257",57.0
21-22,0.001337,"98,636",132,"98,570","5,533,562",56.1
22-23,0.001456,"98,504",143,"98,433","5,434,992",55.2
23-24,0.001531,"98,361",151,"98,286","5,336,559",54.3
24-25,0.001573,"98,210",154,"98,133","5,238,273",53.3
25-26,0.001604,"98,056",157,"97,977","5,140,140",52.4
26-27,0.001639,"97,899",160,"97,819","5,042,163",51.5
27-28,0.001673,"97,738",164,"97,657","4,944,344",50.6
28-29,0.001712,"97,575",167,"97,491","4,846,687",49.7
29-30,0.001755,"97,408",171,"97,322","4,749,196",48.8
30-31,0.001799,"97,237",175,"97,149","4,651,874",47.8
31-32,0.001841,"97,062",179,"96,973","4,554,724",46.9
