"Table 3. Life table for females: United States, 2014",,,,,,,,,,
Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x,,,,
,qx,lx,dx,Lx,Tx,ex,,,,
0-1,0.005313,"100,000",531,"99,528","8,125,115",81.3,,,,
1-2,0.000345,"99,469",34,"99,452","8,025,587",80.7,,,,
2-3,0.000218,"99,434",22,"99,424","7,926,135",79.7,,,,
3-4,0.000158,"99,413",16,"99,405","7,826,711",78.7,,,,
4-5,0.000130,"99,397",13,"99,391","7,727,307",77.7,,,,
5-6,0.000121,"99,384",12,"99,378","7,627,916",76.8,,,,
6-7,0.000107,"99,372",11,"99,367","7,528,538",75.8,,,,
7-8,0.000097,"99,361",10,"99,357","7,429,171",74.8,,,,
8-9,0.000089,"99,352",9,"99,347","7,329,814",73.8,,,,
9-10,0.000084,"99,343",8,"99,339","7,230,467",72.8,,,,
10-11,0.000083,"99,335",8,"99,331","7,131,128",71.8,,,,
11-12,0.000088,"99,326",9,"99,322","7,031,798",70.8,,,,
12-13,0.000102,"99,318",10,"99,313","6,932,476",69.8,,,,
13-14,0.000125,"99,308",12,"99,301","6,833,163",68.8,,,,
14-15,0.000157,"99,295",16,"99,287","6,733,862",67.8,,,,
15-16,0.000192,"99,280",19,"99,270","6,634,574",66.8,,,,
16-17,0.000229,"99,260",23,"99,249","6,535,304",65.8,,,,
17-18,0.000268,"99,238",27,"99,224","6,436,055",64.9,,,,
18-19,0.000305,"99,211",30,"99,196","6,336,831",63.9,,,,
19-20,0.000341,"99,181",34,"99,164","6,237,635",62.9,,,,
20-21,0.000377,"99,147",37,"99,128","6,138,471",61.9,,,,
21-22,0.000412,"99,110",41,"99,089","6,039,343",60.9,,,,
22-23,0.000443,"99,069",44,"99,047","5,940,253",60.0,,,,
23-24,0.000470,"99,025",47,"99,002","5,841,207",59.0,,,,
24-25,0.000496,"98,978",49,"98,954","5,742,205",58.0,,,,
25-26,0.000523,"98,929",52,"98,903","5,643,251",57.0,,,,
26-27,0.000552,"98,878",55,"98,850","5,544,348",56.1,,,,
27-28,0.000582,"98,823",58,"98,794","5,445,497",55.1,,,,
28-29,0.000613,"98,766",61,"98,735","5,346,703",54.1,,,,
29-30,0.000644,"98,705",64,"98,673","5,247,968",53.2,,,,
30-31,0.000678,"98,641",67,"98,608","5,149,295",52.2,,,,
31-32,0.000716,"98,575",71,"98,539","5,050,687",51.2,,,,
32-33,0.000757,"98,504",75,"98,467","4,952,147",50.3,,,,
33-34,0.000805,"98,429",79,"98,390","4,853,681",49.3,,,,
34-35,0.000860,"98,350",85,"98,308","4,755,291",48.4,,,,
35-36,0.000925,"98,266",91,"98,220","4,656,983",47.4,,,,
36-37,0.001000,"98,175",98,"98,126","4,558,763",46.4,,,,
37-38,0.001081,"98,077",106,"98,024","4,460,637",45.5,,,,
38-39,0.001165,"97,971",114,"97,913","4,362,614",44.5,,,,
39-40,0.001252,"97,856",122,"97,795","4,264,700",43.6,,,,
40-41,0.001349,"97,734",132,"97,668","4,166,905",42.6,,,,
41-42,0.001458,"97,602",142,"97,531","4,069,237",41.7,,,,
42-43,0.001574,"97,460",153,"97,383","3,971,706",40.8,,,,
43-44,0.001702,"97,306",166,"97,224","3,874,323",39.8,,,,
44-45,0.001847,"97,141",179,"97,051","3,777,099",38.9,,,,
45-46,0.002002,"96,961",194,"96,864","3,680,048",38.0,,,,
46-47,0.002179,"96,767",211,"96,662","3,583,184",37.0,,,,
47-48,0.002396,"96,556",231,"96,441","3,486,522",36.1,,,,
48-49,0.002653,"96,325",256,"96,197","3,390,082",35.2,,,,
49-50,0.002933,"96,069",282,"95,929","3,293,885",34.3,,,,
50-51,0.003215,"95,788",308,"95,634","3,197,956",33.4,,,,
51-52,0.003494,"95,480",334,"95,313","3,102,322",32.5,,,,
52-53,0.003783,"95,146",360,"94,966","3,007,009",31.6,,,,
53-54,0.004089,"94,786",388,"94,592","2,912,043",30.7,,,,
54-55,0.004419,"94,399",417,"94,190","2,817,451",29.8,,,,
55-56,0.004774,"93,982",449,"93,757","2,723,260",29.0,,,,
56-57,0.005145,"93,533",481,"93,292","2,629,503",28.1,,,,
57-58,0.005521,"93,052",514,"92,795","2,536,211",27.3,,,,
58-59,0.005900,"92,538",546,"92,265","2,443,416",26.4,,,,
59-60,0.006292,"91,992",579,"91,703","2,351,151",25.6,,,,
60-61,0.006717,"91,413",614,"91,106","2,259,449",24.7,,,,
61-62,0.007193,"90,799",653,"90,473","2,168,343",23.9,,,,
62-63,0.007727,"90,146",697,"89,798","2,077,870",23.1,,,,
63-64,0.008328,"89,449",745,"89,077","1,988,072",22.2,,,,
64-65,0.008995,"88,705",798,"88,306","1,898,995",21.4,,,,
65-66,0.009724,"87,907",855,"87,479","1,810,690",20.6,,,,
66-67,0.010529,"87,052",917,"86,594","1,723,210",19.8,,,,
67-68,0.011439,"86,135",985,"85,643","1,636,617",19.0,,,,
68-69,0.012478,"85,150","1,063","84,619","1,550,974",18.2,,,,
69-70,0.013698,"84,088","1,152","83,512","1,466,355",17.4,,,,
70-71,0.015139,"82,936","1,256","82,308","1,382,844",16.7,,,,
71-72,0.016756,"81,680","1,369","80,996","1,300,536",15.9,,,,
72-73,0.018480,"80,311","1,484","79,569","1,219,540",15.2,,,,
73-74,0.020353,"78,827","1,604","78,025","1,139,971",14.5,,,,
74-75,0.022372,"77,223","1,728","76,359","1,061,945",13.8,,,,
75-76,0.024579,"75,495","1,856","74,568","985,586",13.1,,,,
76-77,0.027147,"73,640","1,999","72,640","911,019",12.4,,,,
77-78,0.030089,"71,641","2,156","70,563","838,378",11.7,,,,
78-79,0.033590,"69,485","2,334","68,318","767,816",11.1,,,,
79-80,0.037751,"67,151","2,535","65,884","699,497",10.4,,,,
80-81,0.042127,"64,616","2,722","63,255","633,614",9.8,,,,
81-82,0.046904,"61,894","2,903","60,442","570,359",9.2,,,,
82-83,0.052057,"58,991","3,071","57,455","509,916",8.6,,,,
