"Table 2. Life table for males: United States, 2012",,,,,,
Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x
,qx,lx,dx,Lx,Tx,ex
0-1,0.006499,"100,000",650,"99,427","7,641,761",76.4
1-2,0.000443,"99,350",44,"99,328","7,542,334",75.9
2-3,0.000303,"99,306",30,"99,291","7,443,006",75.0
3-4,0.000224,"99,276",22,"99,265","7,343,715",74.0
4-5,0.000200,"99,254",20,"99,244","7,244,451",73.0
5-6,0.000165,"99,234",16,"99,226","7,145,207",72.0
6-7,0.000144,"99,217",14,"99,210","7,045,981",71.0
7-8,0.000125,"99,203",12,"99,197","6,946,771",70.0
8-9,0.000107,"99,191",11,"99,185","6,847,574",69.0
9-10,0.000090,"99,180",9,"99,176","6,748,389",68.0
10-11,0.000081,"99,171",8,"99,167","6,649,213",67.0
11-12,0.000090,"99,163",9,"99,159","6,550,046",66.1
12-13,0.000128,"99,154",13,"99,148","6,450,887",65.1
13-14,0.000204,"99,141",20,"99,131","6,351,739",64.1
14-15,0.000307,"99,121",30,"99,106","6,252,608",63.1
15-16,0.000415,"99,091",41,"99,070","6,153,502",62.1
16-17,0.000524,"99,050",52,"99,024","6,054,432",61.1
17-18,0.000646,"98,998",64,"98,966","5,955,408",60.2
18-19,0.000779,"98,934",77,"98,895","5,856,442",59.2
19-20,0.000914,"98,857",90,"98,812","5,757,547",58.2
20-21,0.001053,"98,766",104,"98,714","5,658,735",57.3
21-22,0.001178,"98,662",116,"98,604","5,560,021",56.4
22-23,0.001270,"98,546",125,"98,484","5,461,417",55.4
23-24,0.001319,"98,421",130,"98,356","5,362,933",54.5
24-25,0.001337,"98,291",131,"98,225","5,264,577",53.6
25-26,0.001346,"98,160",132,"98,094","5,166,351",52.6
26-27,0.001359,"98,028",133,"97,961","5,068,258",51.7
27-28,0.001373,"97,894",134,"97,827","4,970,297",50.8
28-29,0.001394,"97,760",136,"97,692","4,872,469",49.8
29-30,0.001420,"97,624",139,"97,554","4,774,778",48.9
30-31,0.001448,"97,485",141,"97,415","4,677,223",48.0
31-32,0.001477,"97,344",144,"97,272","4,579,809",47.0
32-33,0.001506,"97,200",146,"97,127","4,482,536",46.1
33-34,0.001537,"97,054",149,"96,979","4,385,409",45.2
34-35,0.001574,"96,905",153,"96,828","4,288,430",44.3
