"Table 2. Life table for males: United States, 2014",,,,,,,,,,
Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x,,,,
,qx,lx,dx,Lx,Tx,ex,,,,
0-1,0.006325,"100,000",633,"99,443","7,647,109",76.5,,,,
1-2,0.000394,"99,367",39,"99,348","7,547,666",76.0,,,,
2-3,0.000278,"99,328",28,"99,314","7,448,318",75.0,,,,
3-4,0.000208,"99,301",21,"99,290","7,349,004",74.0,,,,
4-5,0.000185,"99,280",18,"99,271","7,249,714",73.0,,,,
5-6,0.000162,"99,262",16,"99,254","7,150,443",72.0,,,,
6-7,0.000144,"99,246",14,"99,238","7,051,189",71.0,,,,
7-8,0.000129,"99,231",13,"99,225","6,951,951",70.1,,,,
8-9,0.000113,"99,218",11,"99,213","6,852,726",69.1,,,,
9-10,0.000100,"99,207",10,"99,202","6,753,513",68.1,,,,
10-11,0.000094,"99,197",9,"99,193","6,654,311",67.1,,,,
11-12,0.000104,"99,188",10,"99,183","6,555,118",66.1,,,,
12-13,0.000139,"99,178",14,"99,171","6,455,935",65.1,,,,
13-14,0.000205,"99,164",20,"99,154","6,356,765",64.1,,,,
14-15,0.000297,"99,144",29,"99,129","6,257,611",63.1,,,,
15-16,0.000395,"99,114",39,"99,095","6,158,482",62.1,,,,
16-17,0.000496,"99,075",49,"99,050","6,059,387",61.2,,,,
17-18,0.000615,"99,026",61,"98,995","5,960,337",60.2,,,,
18-19,0.000751,"98,965",74,"98,928","5,861,341",59.2,,,,
19-20,0.000891,"98,891",88,"98,847","5,762,413",58.3,,,,
20-21,0.001032,"98,803",102,"98,752","5,663,567",57.3,,,,
21-22,0.001159,"98,701",114,"98,643","5,564,815",56.4,,,,
22-23,0.001252,"98,586",123,"98,525","5,466,172",55.4,,,,
23-24,0.001305,"98,463",129,"98,399","5,367,647",54.5,,,,
24-25,0.001331,"98,334",131,"98,269","5,269,249",53.6,,,,
25-26,0.001347,"98,204",132,"98,137","5,170,980",52.7,,,,
26-27,0.001368,"98,071",134,"98,004","5,072,842",51.7,,,,
27-28,0.001393,"97,937",136,"97,869","4,974,838",50.8,,,,
28-29,0.001425,"97,801",139,"97,731","4,876,969",49.9,,,,
29-30,0.001463,"97,661",143,"97,590","4,779,238",48.9,,,,
30-31,0.001503,"97,518",147,"97,445","4,681,648",48.0,,,,
31-32,0.001542,"97,372",150,"97,297","4,584,203",47.1,,,,
32-33,0.001580,"97,222",154,"97,145","4,486,906",46.2,,,,
33-34,0.001617,"97,068",157,"96,990","4,389,761",45.2,,,,
34-35,0.001657,"96,911",161,"96,831","4,292,772",44.3,,,,
35-36,0.001710,"96,751",165,"96,668","4,195,941",43.4,,,,
36-37,0.001777,"96,585",172,"96,499","4,099,273",42.4,,,,
37-38,0.001853,"96,414",179,"96,324","4,002,774",41.5,,,,
38-39,0.001936,"96,235",186,"96,142","3,906,449",40.6,,,,
39-40,0.002028,"96,049",195,"95,951","3,810,308",39.7,,,,
40-41,0.002138,"95,854",205,"95,751","3,714,357",38.8,,,,
41-42,0.002272,"95,649",217,"95,540","3,618,605",37.8,,,,
42-43,0.002430,"95,432",232,"95,316","3,523,065",36.9,,,,
43-44,0.002619,"95,200",249,"95,075","3,427,749",36.0,,,,
44-45,0.002844,"94,950",270,"94,815","3,332,674",35.1,,,,
45-46,0.003093,"94,680",293,"94,534","3,237,859",34.2,,,,
46-47,0.003378,"94,387",319,"94,228","3,143,325",33.3,,,,
47-48,0.003724,"94,069",350,"93,893","3,049,097",32.4,,,,
48-49,0.004132,"93,718",387,"93,525","2,955,204",31.5,,,,
49-50,0.004579,"93,331",427,"93,117","2,861,679",30.7,,,,
50-51,0.005029,"92,904",467,"92,670","2,768,562",29.8,,,,
51-52,0.005485,"92,436",507,"92,183","2,675,892",28.9,,,,
52-53,0.005980,"91,929",550,"91,655","2,583,709",28.1,,,,
53-54,0.006535,"91,380",597,"91,081","2,492,054",27.3,,,,
54-55,0.007149,"90,783",649,"90,458","2,400,973",26.4,,,,
55-56,0.007806,"90,134",704,"89,782","2,310,515",25.6,,,,
56-57,0.008479,"89,430",758,"89,051","2,220,733",24.8,,,,
57-58,0.009169,"88,672",813,"88,265","2,131,682",24.0,,,,
58-59,0.009868,"87,859",867,"87,425","2,043,417",23.3,,,,
59-60,0.010588,"86,992",921,"86,531","1,955,992",22.5,,,,
60-61,0.011373,"86,071",979,"85,581","1,869,460",21.7,,,,
61-62,0.012221,"85,092","1,040","84,572","1,783,879",21.0,,,,
62-63,0.013080,"84,052","1,099","83,502","1,699,307",20.2,,,,
63-64,0.013916,"82,953","1,154","82,375","1,615,805",19.5,,,,
64-65,0.014744,"81,798","1,206","81,195","1,533,430",18.7,,,,
65-66,0.015596,"80,592","1,257","79,964","1,452,235",18.0,,,,
66-67,0.016556,"79,335","1,313","78,678","1,372,271",17.3,,,,
67-68,0.017674,"78,022","1,379","77,332","1,293,593",16.6,,,,
68-69,0.019034,"76,643","1,459","75,913","1,216,260",15.9,,,,
69-70,0.020712,"75,184","1,557","74,405","1,140,347",15.2,,,,
70-71,0.022697,"73,627","1,671","72,791","1,065,942",14.5,,,,
71-72,0.024900,"71,956","1,792","71,060","993,150",13.8,,,,
72-73,0.027291,"70,164","1,915","69,206","922,091",13.1,,,,
73-74,0.029805,"68,249","2,034","67,232","852,884",12.5,,,,
74-75,0.032456,"66,215","2,149","65,140","785,652",11.9,,,,
75-76,0.035313,"64,066","2,262","62,935","720,512",11.2,,,,
76-77,0.038650,"61,803","2,389","60,609","657,577",10.6,,,,
77-78,0.042561,"59,415","2,529","58,150","596,968",10.0,,,,
78-79,0.046861,"56,886","2,666","55,553","538,818",9.5,,,,
79-80,0.051878,"54,220","2,813","52,814","483,265",8.9,,,,
80-81,0.057499,"51,407","2,956","49,929","430,451",8.4,,,,
81-82,0.063556,"48,451","3,079","46,912","380,522",7.9,,,,
82-83,0.070286,"45,372","3,189","43,778","333,610",7.4,,,,
83-84,0.078185,"42,183","3,298","40,534","289,832",6.9,,,,
84-85,0.086596,"38,885","3,367","37,201","249,298",6.4,,,,
85-86,0.096437,"35,518","3,425","33,805","212,097",6.0,,,,
86-87,0.107547,"32,092","3,451","30,367","178,292",5.6,,,,
87-88,0.119668,"28,641","3,427","26,927","147,925",5.2,,,,
88-89,0.132831,"25,214","3,349","23,539","120,998",4.8,,,,
89-90,0.147052,"21,864","3,215","20,257","97,459",4.5,,,,
90-91,0.162333,"18,649","3,027","17,136","77,202",4.1,,,,
91-92,0.178656,"15,622","2,791","14,226","60,066",3.8,,,,
92-93,0.195982,"12,831","2,515","11,574","45,840",3.6,,,,
93-94,0.214251,"10,316","2,210","9,211","34,266",3.3,,,,
94-95,0.233378,"8,106","1,892","7,160","25,055",3.1,,,,
95-96,0.253257,"6,214","1,574","5,427","17,895",2.9,,,,
96-97,0.273760,"4,640","1,270","4,005","12,467",2.7,,,,
97-98,0.294739,"3,370",993,"2,873","8,462",2.5,,,,
98-99,0.316033,"2,377",751,"2,001","5,589",2.4,,,,
99-100,0.337469,"1,626",549,"1,351","3,587",2.2,,,,
