"Table 2. Life table for males: United States, 2017",,,,,,
Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x
,qx,lx,dx,Lx,Tx,ex
0-1,0.006302,"100,000",630,"99,449","7,610,075",76.1
1-2,0.000423,"99,370",42,"99,349","7,510,627",75.6
2-3,0.000287,"99,328",29,"99,313","7,411,278",74.6
3-4,0.000225,"99,299",22,"99,288","7,311,964",73.6
4-5,0.000158,"99,277",16,"99,269","7,212,676",72.7
5-6,0.000156,"99,261",15,"99,253","7,113,407",71.7
6-7,0.000138,"99,246",14,"99,239","7,014,154",70.7
7-8,0.000124,"99,232",12,"99,226","6,914,915",69.7
8-9,0.000110,"99,220",11,"99,214","6,815,689",68.7
9-10,0.000098,"99,209",10,"99,204","6,716,475",67.7
10-11,0.000094,"99,199",9,"99,194","6,617,271",66.7
11-12,0.000108,"99,190",11,"99,184","6,518,077",65.7
12-13,0.000152,"99,179",15,"99,171","6,418,893",64.7
13-14,0.000232,"99,164",23,"99,152","6,319,721",63.7
14-15,0.000341,"99,141",34,"99,124","6,220,569",62.7
15-16,0.000461,"99,107",46,"99,084","6,121,445",61.8
16-17,0.000584,"99,061",58,"99,032","6,022,360",60.8
17-18,0.000718,"99,003",71,"98,968","5,923,328",59.8
18-19,0.000859,"98,932",85,"98,890","5,824,360",58.9
19-20,0.001001,"98,848",99,"98,798","5,725,470",57.9
20-21,0.001147,"98,749",113,"98,692","5,626,672",57.0
21-22,0.001286,"98,635",127,"98,572","5,527,980",56.0
22-23,0.001403,"98,508",138,"98,439","5,429,408",55.1
23-24,0.001490,"98,370",147,"98,297","5,330,969",54.2
24-25,0.001554,"98,224",153,"98,147","5,232,672",53.3
25-26,0.001609,"98,071",158,"97,992","5,134,525",52.4
26-27,0.001664,"97,913",163,"97,832","5,036,533",51.4
27-28,0.001713,"97,750",167,"97,667","4,938,701",50.5
28-29,0.001762,"97,583",172,"97,497","4,841,034",49.6
29-30,0.001810,"97,411",176,"97,323","4,743,537",48.7
30-31,0.001859,"97,235",181,"97,144","4,646,215",47.8
31-32,0.001907,"97,054",185,"96,961","4,549,070",46.9
32-33,0.001959,"96,869",190,"96,774","4,452,109",46.0
33-34,0.002014,"96,679",195,"96,582","4,355,335",45.0
34-35,0.002072,"96,484",200,"96,384","4,258,754",44.1
35-36,0.002139,"96,284",206,"96,181","4,162,369",43.2
36-37,0.002211,"96,078",212,"95,972","4,066,188",42.3
37-38,0.002277,"95,866",218,"95,757","3,970,216",41.4
38-39,0.002333,"95,648",223,"95,536","3,874,459",40.5
39-40,0.002390,"95,425",228,"95,311","3,778,923",39.6
40-41,0.002463,"95,196",234,"95,079","3,683,612",38.7
41-42,0.002566,"94,962",244,"94,840","3,588,533",37.8
42-43,0.002701,"94,718",256,"94,591","3,493,693",36.9
43-44,0.002870,"94,463",271,"94,327","3,399,102",36.0
44-45,0.003066,"94,192",289,"94,047","3,304,775",35.1
